	locality	noteDur	interNote	numbPulse	PulseDur	interpulse	pulseRate	note/min	domPeak	minCallFreq	maxCallFreq	airTemp
and01	andarai	0.115	0.071	3.0	0.011	0.040	26.0	297.0	4765.3	4425.1	5049.6	22.0
and02	andarai	0.118	0.102	3.0	0.006	0.050	25.5	261.5	5282.1	4651.2	5781.7	22.0
and03	andarai	0.143	0.097	3.0	0.011	0.054	21.0	251.6	4743.0	4455.9	5078.9	22.0
and04	andarai	0.150	0.110	3.0	0.010	0.060	20.0	223.1	4799.7	4461.7	5163.7	22.0
and05	andarai	0.141	0.103	3.0	0.010	0.056	21.3	239.5	4995.7	4541.4	5301.5	22.0
and06	andarai	0.139	0.087	3.0	0.013	0.050	21.6	266.6	5342.4	4993.5	5755.8	22.0
and07	andarai	0.147	0.114	3.0	0.012	0.056	20.4	231.7	4944.0	4382.0	5226.1	22.0
and08	andarai	0.136	0.101	3.0	0.010	0.052	22.0	247.8	5256.3	4776.1	5609.4	22.0
and09	andarai	0.138	0.098	3.0	0.008	0.057	21.8	246.5	4631.8	4209.7	5155.0	22.0
and10	andarai	0.129	0.100	3.0	0.008	0.053	23.2	251.3	5211.0	4741.6	5512.5	23.5
and11	andarai	0.132	0.103	3.0	0.008	0.054	22.7	252.3	4926.8	4478.9	5288.5	23.5
and12	andarai	0.136	0.112	3.0	0.007	0.058	22.1	250.9	5575.4	5045.4	6145.2	23.5
and13	andarai	0.154	0.114	3.0	0.007	0.066	19.5	238.7	4941.9	4522.0	5312.3	23.5
and14	andarai	0.117	0.080	3.0	0.007	0.047	25.7	297.3	5323.0	4817.0	5596.5	23.5
and15	andarai	0.124	0.102	3.1	0.006	0.051	24.9	245.8	5030.2	4511.2	5654.6	23.5
and16	andarai	0.144	0.099	3.0	0.006	0.063	20.9	269.6	4939.7	4649.0	6180.0	23.5
rio01	riocontas	0.289	0.196	3.0	0.012	0.125	10.4	125.9	4192.5	3876.0	4603.8	20.5
rio02	riocontas	0.284	0.201	3.0	0.012	0.128	10.4	123.0	4739.5	4399.3	5163.7	20.5
rio03	riocontas	0.286	0.200	3.0	0.013	0.121	10.5	123.1	4965.5	4302.3	5282.1	20.5
rio04	riocontas	0.285	0.205	3.0	0.015	0.119	10.6	123.4	5088.3	4524.1	5331.6	19.1
rio05	riocontas	0.273	0.204	3.4	0.011	0.104	12.3	128.8	4651.2	4175.3	4937.5	19.1
rio06	riocontas	0.260	0.179	3.0	0.016	0.107	11.5	140.6	4612.4	4252.8	4909.6	20.5
rio07	riocontas	0.299	0.204	3.0	0.012	0.131	10.0	119.8	4534.9	3947.0	4780.4	20.5
rio08	riocontas	0.293	0.227	3.1	0.011	0.128	10.4	123.5	4504.7	4158.0	4956.9	19.1
rio09	riocontas	0.291	0.233	3.0	0.011	0.129	10.3	132.5	4373.4	4097.8	4773.9	19.1
rio10	riocontas	0.207	0.127	3.0	0.010	0.089	14.5	179.1	4474.6	4091.3	5025.9	20.0
rio11	riocontas	0.209	0.120	3.0	0.009	0.091	14.4	184.2	4211.9	3919.0	5094.7	20.0
rio12	riocontas	0.209	0.129	3.0	0.008	0.093	14.4	154.9	4298.0	3966.4	5129.2	20.0
poco01	pocoto	0.229	0.172	3.0	0.010	0.103	13.0	152.9	5602.9	5236.9	5988.4	24.0
poco02	pocoto	0.262	0.198	3.0	0.009	0.122	11.4	132.0	5527.6	5236.9	6033.6	24.0
poco03	pocoto	0.206	0.171	3.0	0.007	0.095	14.6	162.0	5303.6	4950.5	5654.6	24.3
poco04	pocoto	0.277	0.217	3.0	0.011	0.122	10.8	129.7	5538.4	5280.0	5870.0	24.0
poco05	pocoto	0.204	0.211	2.9	0.006	0.099	14.3	146.2	6324.3	5579.2	6703.3	24.0
poco06	pocoto	0.275	0.229	3.0	0.009	0.124	10.9	121.8	5428.5	725.7	5807.5	24.0
poco07	pocoto	0.343	0.245	3.0	0.006	0.163	8.8	104.2	5443.6	5028.0	5910.9	23.4
poco08	pocoto	0.230	0.192	3.0	0.009	0.102	13.1	141.4	6020.7	5527.6	6457.8	24.9
poco09	pocoto	0.275	0.251	2.9	0.009	0.131	10.7	117.7	4795.3	4425.0	5282.8	27.0
poco10	pocoto	0.322	0.260	2.9	0.008	0.156	9.2	106.6	4907.8	4429.7	5212.5	27.0
poco11	pocoto	0.353	0.237	3.0	0.007	0.166	8.5	109.4	5395.3	4978.2	5789.1	27.0
poco12	pocoto	0.360	0.235	3.0	0.008	0.168	8.3	100.0	5362.5	4837.5	5751.6	27.0
poco13	pocoto	0.299	0.271	3.0	0.009	0.136	10.1	105.7	5203.1	4828.1	5442.2	27.0
falc01	falcipes	0.060	0.111	2.1	0.005	0.047	34.6	355.1	5930.3	5559.9	6681.8	16.0
falc02	falcipes	0.085	0.090	2.5	0.006	0.046	31.3	342.7	5234.7	4883.7	5585.7	19.5
falc03	falcipes	0.116	0.135	2.5	0.006	0.069	22.1	238.1	5062.5	4680.5	5519.5	17.3
falc04	falcipes	0.047	0.061	2.0	0.011	0.024	42.4	530.2	5221.9	4687.5	5550.0	25.0
falc05	falcipes	0.040	0.072	2.0	0.008	0.025	50.0	509.0	4715.6	4242.2	5273.5	24.0
