	locality	SVL	HL	HW	ED	IOD	END	SL	IND	HAL	TL	TBL	TAL	FL
25506	pocoto	13.1	3.6	4.9	1.6	1.4	1.1	2.0	1.0	4.0	6.5	7.1	3.6	7.1
25507	pocoto	12.8	3.5	4.5	1.6	1.4	1.1	1.8	1.0	3.4	6.5	6.6	3.8	6.8
25508	pocoto	12.5	3.4	4.6	1.4	1.4	1.2	2.0	1.0	3.4	6.6	6.8	4.1	6.6
25509	pocoto	12.9	3.7	4.4	1.5	1.3	1.0	2.1	1.1	3.6	6.8	7.1	3.8	7.0
25510	pocoto	12.3	3.3	4.4	1.3	1.3	1.0	2.0	1.1	3.5	6.5	6.6	3.3	6.8
5902	pocoto	12.8	3.3	4.5	1.5	1.3	1.2	1.8	1.0	3.6	6.6	6.6	3.7	7.3
5903	pocoto	12.3	3.4	4.3	1.5	1.4	1.4	2.0	1.0	3.4	6.1	6.2	3.6	6.7
5904	pocoto	12.4	3.6	4.5	1.6	1.5	1.1	2.0	1.0	3.5	6.2	6.6	3.5	6.8
5905	pocoto	13.6	3.6	4.7	1.5	1.4	1.2	2.1	1.1	3.8	6.4	7.0	3.6	7.1
5906	pocoto	13.1	3.5	4.6	1.6	1.3	1.1	2.0	1.1	3.6	6.2	6.7	3.5	6.6
5907	pocoto	14.1	3.7	4.8	1.6	1.5	1.1	2.2	1.1	3.8	6.9	7.2	3.7	7.3
5908	pocoto	13.1	3.6	4.6	1.6	1.3	1.0	2.1	1.1	3.5	6.2	6.8	3.5	6.3
5909	pocoto	13.2	3.7	4.7	1.5	1.4	1.1	2.1	1.1	3.7	6.7	7.2	3.6	7.4
5910	pocoto	13.3	3.6	4.6	1.5	1.4	1.2	2.2	1.1	3.7	6.5	7.1	3.6	7.6
5911	pocoto	12.7	3.3	4.2	1.4	1.2	1.0	2.0	0.9	3.4	6.1	6.6	3.5	6.9
26842	pocoto	12.8	3.6	4.7	1.5	1.5	1.1	1.8	1.0	3.5	6.9	7.3	4.1	7.8
20287	pocoto	14.1	4.1	5.2	1.6	1.6	1.2	2.2	1.2	4.1	7.4	7.7	4.4	8.3
20286	pocoto	13.1	3.8	4.8	1.6	1.5	1.0	2.0	1.0	3.8	7.0	7.5	4.2	7.6
26844	pocoto	11.7	3.2	4.3	1.3	1.3	0.9	1.7	0.9	3.4	6.1	6.7	3.9	7.0
26845	pocoto	11.6	3.2	4.2	1.3	1.3	0.9	1.7	0.9	3.5	6.3	7.0	4.0	7.0
26843	pocoto	13.0	4.0	4.8	1.6	1.5	1.1	2.0	1.0	3.9	7.2	7.4	4.2	7.6
20285	pocoto	13.8	4.3	5.2	1.8	1.7	1.1	2.2	1.1	3.8	7.2	7.6	4.2	7.7
26846	pocoto	12.2	3.6	4.5	1.6	1.5	1.0	1.9	1.0	3.9	6.5	7.1	4.1	7.5
26847	pocoto	12.9	3.8	4.7	1.6	1.4	1.0	1.9	1.0	3.9	7.0	7.2	4.2	7.4
23512	andarai	13.2	3.7	4.5	1.4	1.5	1.1	2.0	1.1	3.7	6.8	7.4	3.9	7.4
23513	andarai	13.6	3.4	4.7	1.7	1.4	1.0	2.1	1.1	3.4	7.0	7.1	3.8	7.5
23515	andarai	13.4	3.5	4.4	1.5	1.5	1.1	2.1	1.1	3.8	6.9	6.9	3.2	7.8
23518	andarai	13.2	3.5	4.5	1.5	1.3	1.1	2.0	1.0	3.8	6.9	6.9	3.7	7.6
23519	andarai	13.5	3.8	4.6	1.6	1.5	1.1	2.0	1.1	3.8	6.8	7.2	3.5	7.8
23520	andarai	13.2	3.7	4.7	1.6	1.5	1.1	2.0	1.0	3.9	6.5	6.9	3.4	7.4
23521	andarai	12.9	3.8	4.6	1.5	1.5	1.1	2.1	1.2	3.8	6.8	7.3	3.5	7.6
23522	andarai	12.8	3.4	4.7	1.5	1.5	1.1	2.0	1.1	3.9	7.1	7.5	3.6	7.9
23524	andarai	13.6	3.6	4.6	1.5	1.4	1.0	1.9	1.0	3.9	6.3	7.1	3.6	7.5
23525	andarai	12.8	3.6	4.5	1.5	1.5	1.1	2.0	1.1	3.6	5.8	6.1	3.4	7.0
23527	andarai	14.3	3.6	4.7	1.5	1.5	1.0	2.1	1.1	3.7	6.8	7.1	3.5	7.7
23528	andarai	13.1	3.7	4.7	1.6	1.5	1.0	2.1	1.0	3.7	6.7	7.1	3.6	7.6
23529	andarai	14.5	3.9	4.8	1.6	1.6	1.1	2.1	1.1	4.1	7.1	7.8	4.1	8.4
23530	andarai	14.8	3.9	4.8	1.6	1.6	1.1	2.2	1.2	3.9	7.1	7.5	4.0	8.1
1570	mineira	13.8	3.2	4.6	1.5	1.4	1.1	2.1	1.1	3.6	6.5	6.9	3.6	6.8
1572	mineira	14.4	3.5	4.7	1.5	1.3	0.9	1.9	0.9	3.8	6.8	7.4	3.7	7.6
